hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
8863,7832|12955,21867,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction2875,1,http://www.reactome.org/biopax/96/48887#Control344
8864,783|784|26199,17633|24048|24636,3,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8860,1,http://www.reactome.org/biopax/96/48887#Catalysis3588
8865,1918|16172|23460|23889|25078,1919|24904|25314,5,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction10835,1,http://www.reactome.org/biopax/96/48887#Catalysis5060
8868,633|23832|24919,24920,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9216,1,http://www.reactome.org/biopax/96/48887#Catalysis3856
8869,17897|24855|25094,24772|25093,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9519,1,http://www.reactome.org/biopax/96/48887#Catalysis4089
8870,2230|18811|18859,16458|18861,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction11155,1,http://www.reactome.org/biopax/96/48887#Catalysis5348
8871,1263|1292|23533,11796|23534,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction559,1,http://www.reactome.org/biopax/96/48887#Catalysis198
8872,4893|23570|23571,4894|18149|23575|23578|23589,3,5,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14446,1,http://www.reactome.org/biopax/96/48887#Catalysis6390
8873,14721|15760|16407|16409,11231,4,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6528,1,http://www.reactome.org/biopax/96/48887#Control1326
8874,857|23940|24814,23636|23968|24572,3,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9105,1,http://www.reactome.org/biopax/96/48887#Catalysis3763
8875,633|23832|24909,24911,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9210,1,http://www.reactome.org/biopax/96/48887#Catalysis3851
8876,17154|17169|23986,17190|17191,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction7974,1,http://www.reactome.org/biopax/96/48887#Catalysis2834
8877,11711|15799|24772,16591|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction7009,1,http://www.reactome.org/biopax/96/48887#Catalysis2595
8878,9490|14955|24772,14956|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4573,1,http://www.reactome.org/biopax/96/48887#Catalysis1661
8879,12756|22402,22403,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction2987,1,http://www.reactome.org/biopax/96/48887#Control433
8880,21704|23320|23321,23323|23324,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction2096,1,http://www.reactome.org/biopax/96/48887#Catalysis991
8881,10121|20492|24772,5001|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14570,1,http://www.reactome.org/biopax/96/48887#Catalysis6435
8882,10890|21098|24772,10891|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6243,1,http://www.reactome.org/biopax/96/48887#Catalysis2360
8883,22235|23514|23968|25451|25462,23515|23832|25483,5,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction2747,1,http://www.reactome.org/biopax/96/48887#Catalysis1284
8884,9606|15336,15157|15158|15159|15160,2,4,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4973,1,http://www.reactome.org/biopax/96/48887#Control1021
8885,6405|24018|24258,24269|24280,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1174,1,http://www.reactome.org/biopax/96/48887#Catalysis483
8886,5015|20514,20512|20513,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14622,1,http://www.reactome.org/biopax/96/48887#Catalysis6454
8887,3122|3124|24772,9153|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12472,-1,http://www.reactome.org/biopax/96/48887#Control2348
8889,9637|15193|23832,9638|23855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction5006,1,http://www.reactome.org/biopax/96/48887#Catalysis1970
8891,11532|24772,10328|16456|24855,2,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6817,1,http://www.reactome.org/biopax/96/48887#Catalysis2525
8892,1627|5038|14924,1626,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14617,-1,http://www.reactome.org/biopax/96/48887#Control2753
8893,5340|13684|24548,13685|24563,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14900,1,http://www.reactome.org/biopax/96/48887#Catalysis6572
8894,12765|22413,22417,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction3008,1,http://www.reactome.org/biopax/96/48887#Control468
8895,14033|22038,22039|22040,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction2542,1,http://www.reactome.org/biopax/96/48887#Catalysis1155
8896,5297|13651|23832,13652|23319|23323|26107|26146,3,5,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14856,1,http://www.reactome.org/biopax/96/48887#Catalysis6538
8897,9669|15230|23968|24572,15229|23940,4,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction5043,1,http://www.reactome.org/biopax/96/48887#Catalysis1989
8898,7149|24389,24437,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12312,-1,http://www.reactome.org/biopax/96/48887#Control2315
8899,1178,15023|17930|25262,1,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9690,1,http://www.reactome.org/biopax/96/48887#Catalysis4253
8900,2122|23533,2123|13466,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction11214,1,http://www.reactome.org/biopax/96/48887#Catalysis5396
8901,9479|23698,6093|23711,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction15881,1,http://www.reactome.org/biopax/96/48887#Catalysis6774
8903,17480|23832|24377,23968|24157|24379,3,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8539,1,http://www.reactome.org/biopax/96/48887#Control1672
8904,11195|24772,11196|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6502,1,http://www.reactome.org/biopax/96/48887#Catalysis2439
8905,11244|16438|23165,16440|23709,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6552,1,http://www.reactome.org/biopax/96/48887#Catalysis2464
8906,6499|6500|6502,6501,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1345,-1,http://www.reactome.org/biopax/96/48887#Control145
8907,3600|13540|14834,3601,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12995,1,http://www.reactome.org/biopax/96/48887#Catalysis6010
8908,9367|24772,9368|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4416,1,http://www.reactome.org/biopax/96/48887#Catalysis1633
8909,13218|24075|24772|26221,23855|23968|24143|24855,4,4,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8492,1,http://www.reactome.org/biopax/96/48887#Catalysis3254
8910,6959|24772,6960|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1810,1,http://www.reactome.org/biopax/96/48887#Catalysis766
8911,10530|14834|15767,10531,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction5874,1,http://www.reactome.org/biopax/96/48887#Catalysis2239
8912,12826|22766,22775,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction3478,1,http://www.reactome.org/biopax/96/48887#Control586
8913,11859,11860,1,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction7206,1,http://www.reactome.org/biopax/96/48887#Catalysis2646
8914,531|15041|23339,17271|23893|26255,3,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8138,1,http://www.reactome.org/biopax/96/48887#Catalysis2976
8915,4489|8071|23165,4584|18079|20260|20261|23534|23709,3,6,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14079,1,http://www.reactome.org/biopax/96/48887#Catalysis6276
8916,21592|26269,25536,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1940,1,http://www.reactome.org/biopax/96/48887#Catalysis842
8917,17664|23832|24672,23855|23968|24673,3,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8904,1,http://www.reactome.org/biopax/96/48887#Catalysis3630
8918,2119|23533,2121|13466,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction11213,1,http://www.reactome.org/biopax/96/48887#Catalysis5395
8919,22232|24772|26171,22250|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction2772,-1,http://www.reactome.org/biopax/96/48887#Control302
8920,12767|22449,23117,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction3026,-1,http://www.reactome.org/biopax/96/48887#Control478
8921,17544|23421|24522,24157|24287,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8695,1,http://www.reactome.org/biopax/96/48887#Catalysis3444
8922,15903|15919|23817,15927|23818|23968,3,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction5920,1,http://www.reactome.org/biopax/96/48887#Control1216
8923,10435|15806|16511,10434,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction11373,-1,http://www.reactome.org/biopax/96/48887#Control1972
